inID,Commentaire,star,source,company,index_org,star_org,date
7900,"très beaux coloris , toucher doux , j'adore !",5,TrustedShop,ShowRoom,9863,5,27/07/2020
7901,livraison effectuée dans les temps et conforme à mes attentes .,5,TrustedShop,ShowRoom,9866,5,27/07/2020
7902,déçue par la qualité de la chemise mais le reste est ok,4,TrustedShop,ShowRoom,9867,4,27/07/2020
7903,tres beaux bijoux qui auraient valu d'etre mis dans de jolis petits pochons plutot que dans des sacs plastiques ....,5,TrustedShop,ShowRoom,9868,5,27/07/2020
7904,livraison rapide et bonne emballage,5,TrustedShop,ShowRoom,9869,5,27/07/2020
7905,top comme toujours,5,TrustedShop,ShowRoom,9870,5,27/07/2020
7906,"aucun reproche sur le traitement de ma commande .. coté produit , j'en ai testé 1 et pour l'instant je trouve ca bof ... à voir si les 3 autres sont meilleurs .. ?",4,TrustedShop,ShowRoom,9871,4,27/07/2020
7907,nous avons reçu notre commande a la date exprimée lors de la commande . actuellement en travaux le colis ne sera déballé que dans 3 semaines . nous avons regardé a l'intérieur si tout était en bonne état sauf le miroir que nous préférons ne pas déballer pour l'instant . dans l'ensemble nous sommes contents du meuble vasque identique a la photo . belle journée . luce,5,TrustedShop,ShowRoom,9872,5,27/07/2020
7908,"j'ai reçu mon produit nife quelques jours avant la date prévue , ce qui m ' a été agréable . beau produit correspondant exactement à mon attente",5,TrustedShop,ShowRoom,9873,5,27/07/2020
7909,très satisfaite de mes vêtements le tissu adorable les couleurs parfaites comme à l'image . je recommande avec nife,4,TrustedShop,ShowRoom,9874,4,27/07/2020
7910,déçue par la qualité du produit . la fermeture d ’ une des boucles d ’ oreilles est tordue,4,TrustedShop,ShowRoom,9875,4,27/07/2020
7911,"beaux bijoux , je suis ravie .",4,TrustedShop,ShowRoom,9876,4,27/07/2020
7912,"le carton était écrasé , du cp la marchandise en bon état sauf un bord de cuisine en jouet un peu écorché mais sinon très bien merci .",5,TrustedShop,ShowRoom,9877,5,27/07/2020
7913,très bien,4,TrustedShop,ShowRoom,9878,4,27/07/2020
7914,dommage qu il se passe autant de temps entre la commande et l'expédition . sinon rien a redire,4,TrustedShop,ShowRoom,9880,4,27/07/2020
7915,les attentes ont été remplies .,4,TrustedShop,ShowRoom,9881,4,27/07/2020
7916,commande encore dans son carton,5,TrustedShop,ShowRoom,9882,5,27/07/2020
7917,tout s'est bien passé,4,TrustedShop,ShowRoom,9883,4,27/07/2020
7918,"matière trop médiocre malheureusement , je suis déçue",2,TrustedShop,ShowRoom,9884,2,27/07/2020
7919,satisfaite,5,TrustedShop,ShowRoom,9885,5,27/07/2020
7920,la marchandise est tachée couleur un peut déteint,4,TrustedShop,ShowRoom,9886,4,27/07/2020
7921,"super parfum , arrivé bien avant la date prev",5,TrustedShop,ShowRoom,9887,5,27/07/2020
7922,pour moi showroomprivé reste la meilleure pour les ventes en ligne.toujours très satisfaite,5,TrustedShop,ShowRoom,9888,5,27/07/2020
7923,très joli meuble . notice de montage pas assez explicite,5,TrustedShop,ShowRoom,9890,5,27/07/2020
7924,"livraison un peu longue comme d'habitude et emballage endommagé , piles en parfait état",5,TrustedShop,ShowRoom,9891,5,27/07/2020
7925,je connaissais déjà les produits j ’ étais enchantée en plus la livraison a été plus rapide que prévu,5,TrustedShop,ShowRoom,9892,5,27/07/2020
7926,délai un peu longs mais produits impeccables .,4,TrustedShop,ShowRoom,9893,4,27/07/2020
7927,elles sont top très contente,5,TrustedShop,ShowRoom,9894,5,27/07/2020
7928,livraison dans les délais . chemisier comme sur la photo .,5,TrustedShop,ShowRoom,9895,5,27/07/2020
7929,commande conforme en tous points,5,TrustedShop,ShowRoom,9896,5,27/07/2020
7930,rien de particulier à signaler,5,TrustedShop,ShowRoom,9898,5,27/07/2020
7931,commande bien reçu mais je n ’ ai pas encore utiliser le produit,4,TrustedShop,ShowRoom,9901,4,27/07/2020
7932,"c ’ est super , j ’ ai reçu mon colis avant la date prévu . mais déçu de ne pas avoir reçu toute la marchandise commander et pas de remboursement de frais de livraison pour dédommagement . je suis toujours en attente du remboursement du produit non livré",5,TrustedShop,ShowRoom,9902,5,27/07/2020
7933,tres satisfaite de mes achats,5,TrustedShop,ShowRoom,9904,5,27/07/2020
7934,articles super,5,TrustedShop,ShowRoom,9906,5,27/07/2020
7935,produits conformes aux annonces et livrés dans les temps,5,TrustedShop,ShowRoom,9908,5,27/07/2020
7936,content de ma commande mais pas de la super qualité,4,TrustedShop,ShowRoom,9909,4,27/07/2020
7937,"marchandises très mal taillées , ne correspondant pas au taille indiquée à l'achat",3,TrustedShop,ShowRoom,9910,3,26/07/2020
7938,"pas de soucis , livraison dans les temps",5,TrustedShop,ShowRoom,9911,5,26/07/2020
7939,sur ma commande il y avait inscrit 3 boites de 10 ; j'en ai reçu que 2 et pas moyen d'obtenir la boite manquante .. je suis assez déçue,3,TrustedShop,ShowRoom,9912,3,26/07/2020
7940,conforme à la commande,4,TrustedShop,ShowRoom,9913,4,26/07/2020
7941,articles conformes a la description . très satisfaite de ma commande,5,TrustedShop,ShowRoom,9914,5,26/07/2020
7942,très satisfaits,5,TrustedShop,ShowRoom,9915,5,26/07/2020
7943,bjr j'ai eu des souci parce que mes commandes ont toutes été annulées par erreur . au moins celle ci est arrivée et je suis contente . mais j'attends le retour de fonds pour commander à nouveau . je vous prie donc d'être diligents . merci,5,TrustedShop,ShowRoom,9916,5,26/07/2020
7944,dommage les articles sont pas top par rapport aux photos et taille pas correctement,4,TrustedShop,ShowRoom,9917,4,26/07/2020
7945,satisfaite de ma commande,4,TrustedShop,ShowRoom,9918,4,26/07/2020
7946,j'adore déjà cette marque de pap et je suis ravis de mon expérience pour mon à achat sur showroom,5,TrustedShop,ShowRoom,9919,5,26/07/2020
7947,les délais de livraison sont beaucoup trop long les annulations sont insupportablesur y ' a beaucoup de choses à revoir,4,TrustedShop,ShowRoom,9920,4,26/07/2020
7948,la paire de lunettes présente un défaut sur une des branches il manque un strass .,3,TrustedShop,ShowRoom,9921,3,26/07/2020
7949,"pour moi 9/10 , très contente de recevoir dans la boîte aux lettres malgré le risque de voisin",5,TrustedShop,ShowRoom,9925,5,26/07/2020
7950,très bien,4,TrustedShop,ShowRoom,9926,4,26/07/2020
7951,très jolis et tailles conformes .,5,TrustedShop,ShowRoom,9927,5,26/07/2020
7952,produits conformes livraison dans le respect des délais,4,TrustedShop,ShowRoom,9928,4,26/07/2020
7953,tres bien,5,TrustedShop,ShowRoom,9929,5,26/07/2020
7954,"très joli coussin , conforme à l image.tres bien emballé . très satisfaite .",5,TrustedShop,ShowRoom,9930,5,26/07/2020
7955,parfait,5,TrustedShop,ShowRoom,9932,5,26/07/2020
7956,très satisfaite,5,TrustedShop,ShowRoom,9933,5,26/07/2020
7957,"le produit commandé ( sandales à talons ) ne correspondait pas à celui livré ( des claquettes ) . je suis trop déçue car je voulais les porter pour un événement , c'est raté !",1,TrustedShop,ShowRoom,9935,1,26/07/2020
7958,"c ’ est vraiment de la mauvaise qualité , ce n ’ a rien à voir avec la photo . délai d ’ attente très long , plus d ’ un mois , ça vient directement de chine vu la qualité . pourtant les photos sont vraiment très attrayantes ! ! !",1,TrustedShop,ShowRoom,9937,1,26/07/2020
7959,produit conforme à la description date de livraison annoncée respectée,5,TrustedShop,ShowRoom,9938,5,26/07/2020
7960,articles conformes,4,TrustedShop,ShowRoom,9939,4,26/07/2020
7961,satisfaite du produit,5,TrustedShop,ShowRoom,9940,5,26/07/2020
7962,au top comme d ’ habitude,5,TrustedShop,ShowRoom,9941,5,26/07/2020
7963,je suis satisfaite avec ma commande,4,TrustedShop,ShowRoom,9942,4,26/07/2020
7964,"belle qualité des sandales , dommage reçu 1 jour trop tard pour que la petite fille en profite .",4,TrustedShop,ShowRoom,9943,4,26/07/2020
7965,de très beaux produits et de bonne qualité .,4,TrustedShop,ShowRoom,9944,4,26/07/2020
7966,"taille trop grand , je suis vraiment déçue",3,TrustedShop,ShowRoom,9946,3,26/07/2020
7967,je n ai pas reçu la bonne taille pour un article mais je ne peux vous la renvoyer j ai enlevé les étiquettes et jeté l l'emballage donc mais c'est la première fois que cela arrive,4,TrustedShop,ShowRoom,9947,4,26/07/2020
7968,parfait . je suis ravie,5,TrustedShop,ShowRoom,9948,5,26/07/2020
7969,tout est conforme à la commande ras,5,TrustedShop,ShowRoom,9950,5,26/07/2020
7970,très bien,5,TrustedShop,ShowRoom,9951,5,26/07/2020
7971,colis reçu avant la date livreur sympa je recommande,5,TrustedShop,ShowRoom,9952,5,26/07/2020
7972,je suis vraiment très satisfaite de ma commande,5,TrustedShop,ShowRoom,9953,5,26/07/2020
7973,déçu du body,4,TrustedShop,ShowRoom,9954,4,26/07/2020
7974,"j ’ ai choisi un relais colis pour ma livraison , sur louveciennes . je m ’ y rends donc pour récupérer mon colis . le magasin est fermé jusqu ’ au 10 septembre .... je ne sais pas où est mon colis . je vous écris par mail . réponse très rapide de votre part m ’ informant que mon colis est livré à marly le roi dans un point de vente non choisi par mes soins . je regrette juste que vous ne m ’ ayez pas prévenu .",4,TrustedShop,ShowRoom,9955,4,26/07/2020
7975,"produit conforme , rien à redire .",5,TrustedShop,ShowRoom,9957,5,26/07/2020
7976,"il y a un article que je n ’ ai pas reçu , un autre m ’ as été envoyé par erreur",3,TrustedShop,ShowRoom,9958,3,26/07/2020
7977,produit conforme et livraison un peu longue,4,TrustedShop,ShowRoom,9959,4,26/07/2020
7978,de beaux articles originaux et de qualité à bon prix merci,5,TrustedShop,ShowRoom,9960,5,26/07/2020
7979,totalement satisfaite,5,TrustedShop,ShowRoom,9962,5,26/07/2020
7980,les robes sont parfaites livraison rapide,5,TrustedShop,ShowRoom,9963,5,26/07/2020
7981,je suis très satisfaite de ma commande . merci,5,TrustedShop,ShowRoom,9965,5,26/07/2020
